#tick=716507,surfaces=15,speed=1
kind,name,precision,sample,input,output
item,coal,ten_hours,6,13869,13968
item,coal,ten_hours,7,13927,13953
item,coal,ten_hours,8,14240,14063
item,coal,ten_hours,9,14583,14157
item,coal,ten_hours,10,14566,14504
item,coal,ten_hours,11,14456,14344
item,coal,ten_hours,12,14389,14363
item,coal,ten_hours,13,14971,14762
item,coal,ten_hours,14,15486,15078
item,coal,ten_hours,15,15768,15419
item,coal,ten_hours,16,15951,15699
item,coal,ten_hours,17,15913,15802
item,coal,ten_hours,18,15635,15654
item,coal,ten_hours,19,15729,15700
item,coal,ten_hours,20,15610,15503
item,coal,ten_hours,21,15690,15443
item,coal,ten_hours,22,15917,15579
item,coal,ten_hours,23,15817,15684
item,coal,ten_hours,24,15519,15357
item,coal,ten_hours,25,15264,15522
item,coal,ten_hours,26,15731,15548
item,coal,ten_hours,27,15755,15496
item,coal,ten_hours,28,15906,15620
item,coal,ten_hours,29,16200,15890
item,coal,ten_hours,30,16588,16074
item,coal,ten_hours,31,16640,16245
item,coal,ten_hours,32,16699,16110
item,coal,ten_hours,33,17018,16368
item,coal,ten_hours,34,17254,16514
item,coal,ten_hours,35,17272,16522
item,coal,ten_hours,36,17312,16614
item,coal,ten_hours,37,17135,16696
item,coal,ten_hours,38,17416,16584
item,coal,ten_hours,39,17914,16597
item,coal,ten_hours,40,17882,16745
item,coal,ten_hours,41,17740,16731
item,coal,ten_hours,42,17312,14831
item,coal,ten_hours,43,16059,14746
item,coal,ten_hours,44,16187,13864
item,coal,ten_hours,45,16446,12076
item,coal,ten_hours,46,13218,11173
item,coal,ten_hours,47,13438,10823
item,coal,ten_hours,48,17580,10164
item,coal,ten_hours,49,17852,10000
item,coal,ten_hours,50,18224,10252
item,coal,ten_hours,51,18471,9880
item,coal,ten_hours,52,18465,7722
item,coal,ten_hours,53,14576,7145
item,coal,ten_hours,54,6910,6615
item,coal,ten_hours,55,6681,6464
item,coal,ten_hours,56,6477,6161
item,coal,ten_hours,57,6444,5953
item,coal,ten_hours,58,6420,5921
item,coal,ten_hours,59,6644,6393
